高血圧の収縮期は140mmHg、拡張期は90mmHg以上である。,TRUE,そのとおり。[1-38]
レカネマブは毒性の高いアミロイドβプロトフィブリルと結合し脳内から除去することで、アルツハイマー型認知症の進行を抑制する。,TRUE,レカネマブはアルツハイマー病による軽度認知障害及び軽度の認知症の進行を抑制する。[5-37]
アルツハイマー型認知症治療薬で、アセチルコリンエステラーゼを阻害する薬のうち、ニコチン性アセチルコリン受容体のアロステリック活性化リガンド作用を持つのはドネペジルである。,FALSE,ニコチン性アセチルコリン受容体へのアロステリック活性化リガンド作用(APL作用)があるのはガランタミンである。[5-35]
細菌感染後の慢性副鼻腔炎には、14員環マクロライド系抗菌薬を大量に長期投与することで、菌を完全に除去する。,FALSE,少量の長期投与を行う。常用量の半数を3か月間投与することで、抗菌力以外の抗炎症作用や免疫増強作用を目的としている。[2-35]
てんかんは1回目の発作後に治療を開始すると効果が大きいため、発作型が同定されるまではカルバマゼピンによる経験的治療を行う。,FALSE,1回だけの発作で脳波に異常がなければ治療を保留する。薬物治療を開始すると止める判断が難しいため、正確な診断が重要である。[4-29]
炭酸リチウムは双極性障害の躁状態、うつ状態、維持療法のいずれにも使えるほか、抗うつ薬と併用してうつ病治療薬の増強にも使用できる。,TRUE,そのとおり。[6-19、27]
NaSSAのミルタザピンはノルアドレナリン、セロトニンの遊離を促進して抗うつ作用を示すが、副作用として高頻度の不眠がある。,FALSE,ミルタザピンはH1受容体遮断(及び5-HT2A受容体遮断作用)を持ち、入眠や睡眠を助ける働きがあるため、不眠を伴ううつに有効である。[6-14]
欠神発作は全般てんかんの一つで、エトスクシミドを用いるが、カルバマゼピンは使用できない。,TRUE,欠神発作の第一選択薬はバルプロ酸やエトスクシミドである。第二選択はラモトリギン。カルバマゼピンは焦点発作(全般強直間代発作には第二選択)に使用される。[4-31]
片頭痛治療薬としてトリプタン系は三叉神経からのCGRPの放出を抑える薬剤で発作時に投与し、抗CGRP抗体は発作前に投与して片頭痛を予防する。,TRUE,そのとおり。トリプタン系にはスマトリプタンやゾルミトリプタン、抗CGRP抗体にはフレマネズマブやガルカネズマブがある。[4-56]
インフルエンザ菌の細菌性髄膜炎は脳実質の急性炎症で、自然に治癒するため発熱や嘔吐に対する対症療法を行う。,FALSE,自然治癒はしない。重症化しやすく死亡や後遺症のリスクがあるため、速やかに抗菌薬のエンピリック治療を行う。[4-63]
メニエール病は前庭障害が原因により発症する難聴や耳鳴りを伴わないめまい症であり、ステロイド薬を用いることもある。,FALSE,メニエール病は内リンパ水腫が原因で、激しい回転性めまい、耳鳴り、難聴などが起こる。難聴に対してステロイドの点滴静注を行うこともある。[2-25]
ロイコトリエン受容体拮抗薬は鼻閉に対して優れた効果を持つが、速効性はない。,TRUE,そのとおり。鼻閉に有効で速効性があるのは点鼻血管収縮薬である。[2-43]
うつ病治療でSSRIとSNRIを用いて効果が不十分な場合は、MAOB阻害薬を併用する。,FALSE,MAOB阻害薬は他の抗うつ薬と併用できない。
オレキシン受容体拮抗薬はベンゾジアゼピン系のような依存性はない。,TRUE,そのとおり。
小児急性中耳炎の治療では重症化を防ぐため、軽症の段階から高用量アモキシシリン投与で治療を開始する。(確認問題),FALSE,軽症では3日間経過観察を行い、改善しない場合、常用量のアモキシシリンを投与する。[2-20]
季節性アレルギー性鼻炎の治療において、オマリズマブは既存治療で効果不十分な重症又は最重症患者に用いられる。(確認問題),TRUE,そのとおり。抗IgE抗体製剤であり、遊離したIgEと結合し、マスト細胞との結合を妨げて活性化を抑制する。[2-42]
扁桃は、鼻や口から侵入する病原体や外来抗原に対する免疫獲得や免疫防御を行う場所である。(確認問題),TRUE,そのとおり。抗原特異的IgA抗体を産生し、局所免疫（上気道の粘膜免疫）の役割をもつ。[2-48]
てんかん治療では、1回目の発作後、速やかに治療を開始すると効果的である。(確認問題),FALSE,1回だけの発作で脳波に異常がなければ治療を保留する。薬物治療を開始すると止める判断が難しいため、正確な診断が重要である。[4-29]
ナラトリプタンは片頭痛の急性期治療薬として用いられる。(確認問題),TRUE,片頭痛の急性期（発作）治療薬として、トリプタン系、ジタン系、エルゴタミン製剤、鎮痛薬がある。[4-56]
真菌性髄膜炎の治療では、アムホテリシンBが第一選択薬である。(確認問題),TRUE,そのとおり。クリプトコッカス髄膜炎が最も頻度が高い。アムホテリシンB静注とフルシトシン(5-FC)経口の併用療法が基本である。[4-67]
パーキンソン病の薬物療法を開始するにあたり、65歳以下で認知機能障害がない場合はドパミンアゴニストを用いる。(確認問題),TRUE,そのとおり。高齢で認知機能障害がある場合、精神症状発現のリスクが高いため、レボドパが基本である。[5-13]
アルツハイマー病の治療において、リバスチグミンは貼付剤として用いられる。(確認問題),TRUE,そのとおり。アセチルコリンエステラーゼ及びブチリルコリンエステラーゼ阻害薬。貼付剤なので服薬管理が容易なうえ、副作用の消化器症状が軽減される。[5-33]
レビー小体型認知症の治療では、ドネペジルは無効である。(確認問題),FALSE,レビー小体型認知症は、ドネペジルなどのコリンエステラーゼ阻害薬が著効する。[5-43]
うつ病の治療において抗うつ薬が奏功したら、薬物依存形成を防止するため直ちに使用をやめる。(確認問題),FALSE,寛解しても再燃防止のために1～2年減量せずに継続する。突然服薬を中止すると、めまいや不眠などの中止後症候群が起こる可能性がある。[6-17]
炭酸リチウムは双極性障害の躁状態の治療、うつ病相の治療、緩解維持療法のすべてに有効である。(確認問題),TRUE,そのとおり。双極性障害の躁、うつ、予防のすべてに有効なのは炭酸リチウムの他に、オランザピン、クエチアピンがある。[6-27]
抗不安薬タンドスピロンは5-HT1A受容体アゴニストである。(確認問題),TRUE,そのとおり。軽症の神経症や心身症に有効である。ベンゾジアゼピンのような健忘作用、中枢性筋弛緩作用、耐性、断薬症状がなく、催眠作用も弱い。[6-35]
排卵誘発剤としてエチニルエストラジオール＋ノルエチステロンが用いられる。(確認問題),FALSE,排卵誘発ではなく抑制剤である。前者は卵胞ホルモン薬、後者は黄体ホルモン薬であり、卵胞刺激ホルモンと黄体化ホルモンの分泌抑制作用、子宮内膜の増殖抑制作用がある。[7-22]
子宮内膜症の治療では、プロゲステロン受容体アゴニストのジエノゲストが用いられる。(確認問題),TRUE,そのとおり。ジエノゲストと経口避妊薬は子宮内膜症の第一選択薬である。子宮内膜細胞の増殖抑制、卵胞発育抑制により子宮内膜を萎縮させる。[7-26]
妊娠高血圧症に対する降圧治療ではACE阻害薬が第一選択薬である。(確認問題),FALSE,妊婦にACE(アンジオテンシン変換酵素)阻害薬、ARB(アンジオテンシンⅡ受容体拮抗薬)は、催奇形性や胎児毒性などの原因となり禁忌である。中枢性降圧薬やα.β遮断薬を用いる。[7-51]
切迫早産治療薬リトドリン塩酸塩の作用機序は、アドレナリンβ2受容体刺激による子宮平滑筋弛緩作用である。(確認問題),TRUE,そのとおり。早産治療薬は他に、イソクスプリン(β受容体刺激)、硫酸マグネシウム(Ca拮抗剤)がある。[7-27]
不眠治療薬レンボレキサントはオレキシン受容体アゴニストである。(確認問題),FALSE,レンボレキサントはオレキシン受容体拮抗薬である。オレキシンは昼に多く分泌され、覚醒を維持する役割がある。[15-11]
ナルコレプシー治療では依存症回避の観点から、メチルフェニデートやぺモリンよりもモダフィニルの使用を優先する。(確認問題),TRUE,そのとおり。依存性回避のため、モダフィニル(ヒスタミン系の賦活化、GABA遊離抑制作用)が第一選択薬である。[15-21]
がん性疼痛治療では、強オピオイドで寛解を得た後に副作用の少ない薬剤に変えていくステップダウンブリッジ方式が基本である。(確認問題),FALSE,ステップダウンブリッジ方式は関節リウマチで用いる方法である。がん性疼痛では、オピオイド薬の副作用や増量時の効果不足が生じた場合、他のオピオイドに変更するオピオイドローテーションを行う。[15-36]
